ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
21053745,DIRT ROAD (MAINTAINED),YES,Yes,Yes,No,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
21054673,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,Yes,No,YES,3 to 5 kilometers,No,Yes,Yes,No,11 to 15 kilometers,No
21055165,TAR/ASPHALT,YES,Yes,Yes,Yes,Yes,No,YES,In the community,Yes,Yes,Yes,No,0 to 5 kilometes,No
21055241,DIRT ROAD (MAINTAINED),YES,No,Yes,No,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
21055693,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
21056222,DIRT ROAD (MAINTAINED),YES,No,Yes,No,No,No,YES,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
21066096,TAR/ASPHALT,YES,Yes,Yes,Yes,No,No,YES,In the community,Yes,Yes,Yes,No,0 to 5 kilometes,No
21066339,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,0 to 5 kilometes,No
21066478,DIRT TRACK,NO,No,Yes,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
21069400,TAR/ASPHALT,YES,Yes,Yes,Yes,No,No,YES,In the community,Yes,Yes,Yes,No,6 to 10 kilometers,Yes
21074510,DIRT ROAD (MAINTAINED),YES,Yes,Yes,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
21077725,TAR/ASPHALT,YES,Yes,Yes,No,No,No,YES,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
21079006,DIRT ROAD (MAINTAINED),YES,No,Yes,Yes,No,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
21080308,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
21080755,DIRT TRACK,YES,Yes,Yes,Yes,Yes,No,YES,In the community,Yes,No,Yes,No,16 to 20 kilometers,No
21081573,DIRT TRACK,NO,No,Yes,Yes,No,No,YES,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
21083535,TAR/ASPHALT,YES,Yes,Yes,Yes,Yes,Yes,YES,In the community,Yes,No,Yes,Yes,,Yes
21085094,GRADED GRAVELED,YES,No,No,No,No,No,YES,In the community,Yes,No,Yes,No,6 to 10 kilometers,No
21086069,TAR/ASPHALT,YES,Yes,Yes,Yes,No,No,YES,In the community,Yes,Yes,Yes,No,6 to 10 kilometers,No
21086436,DIRT ROAD (MAINTAINED),YES,Yes,Yes,No,No,No,YES,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
21087057,TAR/ASPHALT,YES,Yes,Yes,Yes,Yes,No,YES,In the community,Yes,Yes,Yes,Yes,,No
21087531,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,Yes,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
21087736,TAR/ASPHALT,YES,Yes,Yes,Yes,Yes,No,YES,In the community,Yes,Yes,Yes,No,0 to 5 kilometes,No
21088597,DIRT ROAD (MAINTAINED),YES,No,Yes,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
30101280,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,YES,In the community,Yes,No,No,No,Above 30 kilometers,No
30101545,DIRT ROAD (MAINTAINED),NO,Yes,No,Yes,Yes,Yes,YES,3 to 5 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
30101552,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,,Yes,No,Yes,No,0 to 5 kilometes,No
30102028,GRADED GRAVELED,YES,No,No,No,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30102540,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,Yes,No,Yes,No,6 to 10 kilometers,No
30102632,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,No,No,No,Yes,,No
30102641,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,No,No,Yes,No,11 to 15 kilometers,No
30103021,TAR/ASPHALT,YES,Yes,No,Yes,No,No,NO,,Yes,No,Yes,No,6 to 10 kilometers,No
30103074,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30103420,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30104022,DIRT ROAD (MAINTAINED),YES,No,No,Yes,No,No,NO,,No,No,Yes,No,6 to 10 kilometers,No
30104040,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,No,No,Yes,Yes,,No
30104708,GRADED GRAVELED,YES,No,No,No,Yes,No,YES,Under 2 kilometers,Yes,No,No,No,21 to 25 kilometers,No
30105325,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,,Yes,No,Yes,Yes,,No
30105448,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,6 to 10 kilometers,No
30106005,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,NO,3 to 5 kilometers,No,No,No,No,6 to 10 kilometers,No
30106331,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30106750,GRADED GRAVELED,NO,Yes,No,No,Yes,No,NO,3 to 5 kilometers,No,No,Yes,No,Above 30 kilometers,No
30107395,GRADED GRAVELED,YES,No,No,Yes,No,No,YES,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
30107624,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,,No,No,No,No,6 to 10 kilometers,No
30108117,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30108401,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,NO,5 and above kilometers,Yes,No,Yes,Yes,,No
30109724,GRADED GRAVELED,NO,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
30120262,TAR/ASPHALT,YES,Yes,No,Yes,No,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30201076,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,6 to 10 kilometers,No
30201146,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30201498,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,In the community,No,No,Yes,No,6 to 10 kilometers,No
30201587,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
30202252,TAR/ASPHALT,YES,Yes,No,No,No,No,YES,5 and above kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30202403,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,No,No,16 to 20 kilometers,No
30203044,GRADED GRAVELED,YES,No,No,Yes,Yes,No,NO,,No,No,No,Yes,,No
30203122,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30203142,DIRT ROAD (MAINTAINED),NO,No,No,Yes,Yes,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30203256,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,3 to 5 kilometers,Yes,No,No,No,26 to 30 kilometers,Yes
30203767,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,No,No,11 to 15 kilometers,No
30204126,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,Yes,No,Yes,No,0 to 5 kilometes,No
30205702,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30206341,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,In the community,No,No,Yes,Yes,,Yes
30206572,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30207060,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,3 to 5 kilometers,No,No,No,No,0 to 5 kilometes,No
30207188,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,26 to 30 kilometers,No
30207491,DIRT ROAD (MAINTAINED),NO,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,6 to 10 kilometers,No
30208396,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30209287,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,,Yes,No,Yes,Yes,,No
30212167,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30212307,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
30212492,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,Above 30 kilometers,No
30222077,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30301554,DIRT ROAD (MAINTAINED),YES,No,Yes,Yes,Yes,Yes,YES,5 and above kilometers,No,No,Yes,No,0 to 5 kilometes,No
30301576,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30301590,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30302283,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,No,No,YES,5 and above kilometers,Yes,No,Yes,Yes,,No
30302357,DIRT ROAD (MAINTAINED),NO,No,Yes,Yes,Yes,No,NO,3 to 5 kilometers,Yes,No,Yes,Yes,,No
30302601,GRADED GRAVELED,NO,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,No,No,0 to 5 kilometes,No
30302687,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
30302692,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
30304139,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
30304143,DIRT ROAD (MAINTAINED),YES,Yes,Yes,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30305082,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
30305258,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30305277,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,Yes,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30305506,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30305561,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,11 to 15 kilometers,No
30305580,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,11 to 15 kilometers,No
30306024,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30306056,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,Yes,,No
30306087,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30306460,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,5 and above kilometers,No,No,No,No,0 to 5 kilometes,No
30306555,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,21 to 25 kilometers,No
30306594,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,3 to 5 kilometers,No,No,Yes,No,6 to 10 kilometers,No
30307577,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
30307678,TAR/ASPHALT,YES,Yes,Yes,Yes,No,Yes,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30401015,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,Yes,No,No,No,Above 30 kilometers,No
30401062,TAR/ASPHALT,YES,Yes,No,Yes,No,Yes,YES,5 and above kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
30401178,GRADED GRAVELED,YES,No,No,Yes,Yes,Yes,YES,In the community,Yes,No,Yes,No,6 to 10 kilometers,No
30401397,GRADED GRAVELED,YES,No,No,Yes,Yes,No,NO,In the community,Yes,No,Yes,Yes,,No
30402291,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,,Yes,No,No,No,Above 30 kilometers,No
30402402,DIRT ROAD (MAINTAINED),NO,No,No,No,No,Yes,NO,5 and above kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
30402515,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,YES,In the community,Yes,No,No,No,6 to 10 kilometers,No
30402570,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,In the community,No,No,Yes,No,0 to 5 kilometes,No
30402669,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,Yes,No,No,No,6 to 10 kilometers,No
30403185,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,Yes,No,Yes,No,0 to 5 kilometes,No
30403225,DIRT ROAD (MAINTAINED),NO,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30403261,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,No,No,0 to 5 kilometes,No
30403444,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,Yes,YES,,Yes,No,Yes,Yes,,No
30403558,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30403699,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,No,No,6 to 10 kilometers,No
30403766,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,In the community,Yes,No,No,No,0 to 5 kilometes,No
30404093,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,Yes,No,No,Yes,,No
30404458,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
30404493,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,Yes,YES,In the community,Yes,No,Yes,Yes,,No
30405588,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,In the community,Yes,No,No,No,Above 30 kilometers,No
30406125,DIRT ROAD (MAINTAINED),YES,No,No,Yes,No,No,NO,,No,No,Yes,No,0 to 5 kilometes,No
30406378,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,In the community,Yes,No,No,Yes,,No
30406710,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,NO,3 to 5 kilometers,Yes,No,No,No,0 to 5 kilometes,No
30420223,TAR/ASPHALT,YES,Yes,No,No,No,Yes,YES,In the community,Yes,No,Yes,Yes,,No
30501008,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,In the community,No,No,Yes,No,11 to 15 kilometers,Yes
30501020,GRADED GRAVELED,YES,No,No,No,Yes,No,NO,In the community,No,No,No,No,6 to 10 kilometers,No
30501359,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,11 to 15 kilometers,No
30501383,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
30501566,GRADED GRAVELED,NO,No,No,No,No,No,NO,In the community,No,No,No,No,11 to 15 kilometers,No
30502418,DIRT TRACK,NO,No,No,No,Yes,No,NO,In the community,Yes,No,No,Yes,,No
30502456,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,6 to 10 kilometers,No
30503214,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30503292,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,11 to 15 kilometers,No
30503685,DIRT ROAD (MAINTAINED),NO,No,No,Yes,No,No,NO,In the community,No,No,Yes,No,0 to 5 kilometes,No
30504251,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30504518,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,6 to 10 kilometers,No
30505180,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,Yes,No,No,No,6 to 10 kilometers,No
30506017,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30506031,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,In the community,No,No,Yes,No,0 to 5 kilometes,No
30506105,TAR/ASPHALT,YES,Yes,No,Yes,No,No,NO,In the community,No,No,No,No,6 to 10 kilometers,No
30506326,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,In the community,No,Yes,Yes,Yes,,No
30506457,DIRT ROAD (MAINTAINED),NO,Yes,No,Yes,No,No,NO,,Yes,No,No,No,6 to 10 kilometers,No
30506748,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,3 to 5 kilometers,Yes,Yes,No,No,6 to 10 kilometers,No
30507667,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,In the community,Yes,No,Yes,No,11 to 15 kilometers,No
30508364,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,In the community,Yes,No,Yes,No,0 to 5 kilometes,No
30508435,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,11 to 15 kilometers,No
30508473,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,11 to 15 kilometers,No
30508629,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,6 to 10 kilometers,No
30601052,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,No,No,No,No,6 to 10 kilometers,No
30601144,GRADED GRAVELED,YES,No,No,Yes,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30601190,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
30601191,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,Above 30 kilometers,No
30601428,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,16 to 20 kilometers,No
30601526,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
30601608,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30601639,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
30601746,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30602059,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
30602217,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,Yes,No,Yes,No,11 to 15 kilometers,No
30602220,GRADED GRAVELED,YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,26 to 30 kilometers,No
30602235,DIRT ROAD (MAINTAINED),YES,No,No,No,No,Yes,YES,3 to 5 kilometers,Yes,No,No,Yes,,No
30602408,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,No,No,Above 30 kilometers,No
30602443,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
30602445,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,Yes,Yes,No,6 to 10 kilometers,No
30602472,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30602512,GRADED GRAVELED,YES,No,No,No,No,Yes,NO,5 and above kilometers,Yes,No,No,No,0 to 5 kilometes,No
30602713,GRADED GRAVELED,NO,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,16 to 20 kilometers,No
30602734,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
30620179,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
30620196,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30620323,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30620644,GRADED GRAVELED,YES,Yes,Yes,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
30701411,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,No,Yes,YES,Under 2 kilometers,No,No,Yes,Yes,,Yes
30702134,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,6 to 10 kilometers,No
30703381,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
30704158,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
30704313,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,16 to 20 kilometers,No
30705248,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,5 and above kilometers,No,No,Yes,No,11 to 15 kilometers,No
30705391,GRADED GRAVELED,YES,No,No,No,No,No,YES,3 to 5 kilometers,Yes,Yes,Yes,Yes,,No
30706619,GRADED GRAVELED,NO,No,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,6 to 10 kilometers,No
30706743,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,YES,3 to 5 kilometers,No,No,Yes,No,6 to 10 kilometers,No
30707534,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,16 to 20 kilometers,No
30707722,GRADED GRAVELED,YES,No,No,Yes,Yes,Yes,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
30708338,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
30708665,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
30709116,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,Yes,,No
30709358,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,YES,5 and above kilometers,No,No,Yes,No,11 to 15 kilometers,No
30709438,DIRT ROAD (MAINTAINED),NO,Yes,No,No,Yes,No,YES,Under 2 kilometers,No,No,Yes,Yes,,No
30709650,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,No,NO,3 to 5 kilometers,Yes,Yes,Yes,Yes,,No
30709698,TAR/ASPHALT,YES,No,No,No,No,No,YES,,Yes,No,Yes,Yes,,No
30710079,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
